,IN_BANHEIRO_EI,IN_INF,IN_INF_CRE,IN_INF_PRE,IN_FUND,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_BAS_0_3,QT_MAT_BAS_4_5,QT_DOC_INF,QT_DOC_INF_CRE,QT_DOC_INF_PRE,QT_TUR_INF,QT_TUR_INF_CRE,QT_TUR_INF_PRE,QT_MAT_INF
IN_BANHEIRO_EI,1.0,0.6819958294166751,0.6071142174541919,0.647234071133236,-0.5301467413778224,0.5414166113889268,0.5948096909936136,0.5392274280437935,0.604022976347223,0.6658959239124248,0.5406383119761979,0.5947808192878583,0.6499288567654843,0.549244956978216,0.5888155492724688,0.6457845595059482
IN_INF,0.6819958294166751,1.0,0.746999557874899,0.9683318326020266,-0.6278535838388878,0.6625915379040233,0.8083814103417699,0.6596675819699981,0.8146803283909135,0.8703865432824819,0.6553949652603087,0.81227395953067,0.8544336981920003,0.6719179531018671,0.8021474668366584,0.8506630192837071
IN_INF_CRE,0.6071142174541919,0.746999557874899,1.0,0.6941484646546008,-0.690381138149576,0.8870039224507714,0.6095349921013014,0.8815456773586081,0.6411446340419309,0.8350686766927399,0.8773699506928916,0.6026514479486045,0.7993289079312307,0.8994890907477554,0.5988575703708924,0.7842388544780975
IN_INF_PRE,0.647234071133236,0.9683318326020266,0.6941484646546008,1.0,-0.5898025302679194,0.5683604147809607,0.834818585039751,0.5642975495931615,0.8355881051025335,0.8332325278961442,0.5469930362136427,0.838838435526789,0.8362226843986968,0.5801457829908263,0.8283807676560523,0.8357536705311482
IN_FUND,-0.5301467413778224,-0.6278535838388878,-0.690381138149576,-0.5898025302679194,1.0,-0.616197640597235,-0.5807149370601882,-0.6148008367136821,-0.5950893023865574,-0.6897033085894247,-0.6154772600438079,-0.5746847774891157,-0.6720311428173694,-0.625078531176601,-0.5768641521197246,-0.6627815003473769
QT_MAT_INF_CRE,0.5414166113889268,0.6625915379040233,0.8870039224507714,0.5683604147809607,-0.616197640597235,1.0,0.5449294687098734,0.997977474583802,0.5832937613825407,0.807029244002368,0.932438601235686,0.5201756768574284,0.7821033245052429,0.9948885828353228,0.5217367635774874,0.777435452479801
QT_MAT_INF_PRE,0.5948096909936136,0.8083814103417699,0.6095349921013014,0.834818585039751,-0.5807149370601882,0.5449294687098734,1.0,0.5322132743147204,0.9976803984948086,0.8754236679131954,0.45552491805452905,0.9694398369080028,0.938238198226066,0.5455146498337964,0.988408968712245,0.9510213455170741
QT_MAT_BAS_0_3,0.5392274280437935,0.6596675819699981,0.8815456773586081,0.5642975495931615,-0.6148008367136821,0.997977474583802,0.5322132743147204,1.0,0.5691492967419319,0.8022010516299694,0.9360481503304519,0.5103821519754115,0.7723943970781153,0.9934629156783775,0.5091481661077538,0.7671511206353304
QT_MAT_BAS_4_5,0.604022976347223,0.8146803283909135,0.6411446340419309,0.8355881051025335,-0.5950893023865574,0.5832937613825407,0.9976803984948086,0.5691492967419319,1.0,0.8901626528757526,0.4911461081609321,0.9654375281866724,0.9512763540162498,0.5833983634343478,0.9851913668995617,0.9634252240053773
QT_DOC_INF,0.6658959239124248,0.8703865432824819,0.8350686766927399,0.8332325278961442,-0.6897033085894247,0.807029244002368,0.8754236679131954,0.8022010516299694,0.8901626528757526,1.0,0.8029975626279887,0.8993526657862576,0.9665841229270289,0.8137922680837835,0.877403596377131,0.9542030243735644
QT_DOC_INF_CRE,0.5406383119761979,0.6553949652603087,0.8773699506928916,0.5469930362136427,-0.6154772600438079,0.932438601235686,0.45552491805452905,0.9360481503304519,0.4911461081609321,0.8029975626279887,1.0,0.4649817778965042,0.6992906965529223,0.9370952905308856,0.43989118068507793,0.6854632063135704
QT_DOC_INF_PRE,0.5947808192878583,0.81227395953067,0.6026514479486045,0.838838435526789,-0.5746847774891157,0.5201756768574284,0.9694398369080028,0.5103821519754115,0.9654375281866724,0.8993526657862576,0.4649817778965042,1.0,0.927031913729537,0.5266375608050979,0.9835190492845151,0.9189714880599991
QT_TUR_INF,0.6499288567654843,0.8544336981920003,0.7993289079312307,0.8362226843986968,-0.6720311428173694,0.7821033245052429,0.938238198226066,0.7723943970781153,0.9512763540162498,0.9665841229270289,0.6992906965529223,0.927031913729537,1.0,0.7869004379234552,0.9385203117419968,0.9921320109811483
QT_TUR_INF_CRE,0.549244956978216,0.6719179531018671,0.8994890907477554,0.5801457829908263,-0.625078531176601,0.9948885828353228,0.5455146498337964,0.9934629156783775,0.5833983634343478,0.8137922680837835,0.9370952905308856,0.5266375608050979,0.7869004379234552,1.0,0.525491212796747,0.7759899700591334
QT_TUR_INF_PRE,0.5888155492724688,0.8021474668366584,0.5988575703708924,0.8283807676560523,-0.5768641521197246,0.5217367635774874,0.988408968712245,0.5091481661077538,0.9851913668995617,0.877403596377131,0.43989118068507793,0.9835190492845151,0.9385203117419968,0.525491212796747,1.0,0.9337761587620075
QT_MAT_INF,0.6457845595059482,0.8506630192837071,0.7842388544780975,0.8357536705311482,-0.6627815003473769,0.777435452479801,0.9510213455170741,0.7671511206353304,0.9634252240053773,0.9542030243735644,0.6854632063135704,0.9189714880599991,0.9921320109811483,0.7759899700591334,0.9337761587620075,1.0
